media,Editeur,group,nb_declarations_2020,total_declarations_duration_2020,women_speech_duration_2020,men_speech_duration_2020,other_duration_2020,women_expression_rate_2020,speech_rate_2020,nb_declarations_2019,total_declarations_duration_2019,women_speech_duration_2019,men_speech_duration_2019,other_duration_2019,women_expression_rate_2019,speech_rate_2019
radio,Europe 1,Lagardère Active,3602.0,14877545.459999992,5432042.700000017,8220712.699999972,1224790.0600000008,0.3978715314858729,0.9176752601231842,1684.0,9823492.72,3658937.5,5239559.62,924995.6,0.411186007104085,0.9058384195555245
radio,Fip,Radio France,199.0,5270382.760000001,154044.19999999992,64874.39999999976,5051464.160000001,0.7036597164425505,0.041537514440412225,,,,,,,
radio,France Culture,Radio France,2689.0,6933822.840000003,2357921.72,3762353.0600000015,813548.0600000017,0.385264028946099,0.8826696212503748,2816.0,6959811.160000001,2309011.64,3907866.7,742932.8200000001,0.37141013764795666,0.8932538824803401
radio,France Info,Radio France,850.0,7416247.179999998,2161868.060000001,4782895.819999997,471483.3000000005,0.31129468148310924,0.9364256222107202,853.0,7020833.9399999995,2075132.98,4541026.2,404674.7600000001,0.31364616895447794,0.9423608700250785
radio,France Inter,Radio France,3707.0,8577861.919999989,2801560.8399999943,4334779.339999996,1441521.7399999998,0.39257669468329603,0.8319485958804054,3505.0,8298411.0,2532256.62,4415065.8,1351088.58,0.364493896628451,0.8371870735252809
radio,France Musique,Radio France,1196.0,5544350.100000005,462351.82000000065,745503.7399999998,4336494.540000004,0.38278734255278046,0.21785340720096294,1058.0,4634473.3,410668.48,695391.38,3528413.44,0.37128956112736977,0.23865923663860572
radio,FunRadio,M6,262.0,1889994.2600000002,384335.6199999997,696198.4800000003,809460.1600000001,0.35569041273199953,0.5717129003344169,178.0,1623596.48,405759.86,759977.68,457858.94,0.34807136776259257,0.7179970850885314
radio,Mouv,Radio France,594.0,4514387.9,272227.6400000001,546768.7799999996,3695391.48,0.3323917337758328,0.18141915097725647,534.0,3689987.58,204603.6,538614.28,2946769.7,0.2752942380772648,0.20141473755312747
radio,NOSTALGIE,NRJ,252.0,4553985.8,404643.16000000003,725570.0600000005,3423772.579999999,0.35802373644151836,0.2481811032436686,183.0,4355996.4,447301.48,704421.08,3204273.84,0.3883760686254161,0.264399336969149
radio,NRJ,NRJ,222.0,3841187.819999999,367455.74000000034,1223327.5599999982,2250404.5200000005,0.23099044351295409,0.41413837972650835,294.0,4246695.38,420503.0,1221784.44,2604407.94,0.25604713873961066,0.3867212722001266
radio,RFI,FMM,2955.0,6484616.840000001,2096084.0600000012,3743001.139999999,645531.6400000004,0.3589747346039755,0.9004518453552915,,,,,,,
radio,RMC,NextRadioTV,1726.0,14586539.380000008,3545322.200000006,10618222.620000003,422994.55999999994,0.25031319807692065,0.9710010339683462,1531.0,14630044.979999999,3573101.52,10596004.719999999,460938.74,0.2521755048962072,0.9684936894842
radio,RTL,M6,2268.0,6530201.119999997,2017439.1000000043,3643486.619999995,869275.3999999986,0.35637971593098466,0.8668838242458299,1910.0,4920626.9399999995,1691440.0999999999,2708843.22,520343.62,0.3843934531015607,0.8942525766848726
tv,6TER,M6,557.0,1806579.2199999995,697400.5199999997,756396.42,352782.28,0.4797097179197528,0.8047236035406186,609.0,1404093.9000000001,318408.3,796152.54,289533.06,0.2856805017481145,0.7937936629451919
tv,BFMTV,NextRadioTV,600.0,4970666.619999998,1525872.9400000013,2916977.599999997,527816.0800000004,0.3434445805147436,0.8938138241103765,1427.0,11142102.36,3334858.8200000003,6495710.720000001,1311532.8199999998,0.3392335313259988,0.8822903633780654
tv,C8,CANAL+,1117.0,2201028.0,647611.2599999999,1130369.92,423046.82000000007,0.3642396597246322,0.8077958026885618,1063.0,2286769.24,639413.66,1164384.42,482971.16,0.35448183867675476,0.7887975963853703
tv,CANAL PLUS,CANAL+,1415.0,3358480.619999999,776713.4000000001,2294041.1799999992,287726.04,0.2529389372432363,0.9143285096580369,1399.0,3143919.0999999996,768881.94,2062274.86,312762.30000000005,0.27157872004828554,0.9005183371289676
tv,CNEWS,CANAL+,569.0,3911374.659999997,977414.8199999986,2595086.779999999,338873.0599999998,0.2735939488452571,0.9133621579478146,1292.0,10720742.419999998,2940037.48,6568644.9399999995,1212059.9999999981,0.3091950440805657,0.8869425313550254
tv,Chérie 25,NRJ,1499.0,3053811.1,1007230.6799999983,1444082.0200000012,602498.4000000005,0.4108944077187699,0.8027060678376602,1084.0,2109672.36,965430.0,766198.16,378044.2,0.5575273157950954,0.8208043072621949
tv,FRANCE 2,France Télévisions,4883.0,8751988.320000004,3343247.9400000027,4309697.160000003,1099043.2200000004,0.4368576928638885,0.874423596122898,5002.0,8110368.38,3274493.76,3938444.86,897429.76,0.4539749930660023,0.8893478424219247
tv,FRANCE 3,France Télévisions,1819.0,3531671.0200000023,1273598.1399999985,1695357.360000003,562715.5200000008,0.42897178485834425,0.8406659292971177,1769.0,3266714.6,1294480.0,1533820.92,438413.68000000005,0.45768821515639857,0.8657936998842812
tv,FRANCE 4,France Télévisions,936.0,2863927.7600000007,1447041.660000001,962704.5199999997,454181.5800000001,0.6004954679500729,0.8414130459771094,154.0,507648.76,91164.52,297544.98,118939.26000000001,0.23453123733790918,0.7657056032206205
tv,FRANCE 5,France Télévisions,2158.0,6932185.1400000015,3097551.7000000025,3461347.4799999995,373285.9600000003,0.4722670092940812,0.9461517613189425,2130.0,7198844.380000001,3035184.94,3775325.52,388333.92,0.4456618865540954,0.9460560751835561
tv,France 24,FMM,1274.0,1124999.9999999998,434722.48000000004,572638.5399999998,117638.98,0.4315458622768629,0.8954320177777778,,,,,,,
tv,L'Equipe,Amaury,2213.0,7803995.419999992,878202.8199999997,5870672.119999992,1055120.4800000014,0.13012581027320103,0.864797398868796,1037.0,4410671.720000001,357748.26,3214432.94,838490.52,0.10014840792510749,0.8098950515410382
tv,LCI,TF1,951.0,4133672.8800000004,1262639.8399999996,2503416.24,367616.8,0.335268464722384,0.9110677572532058,2688.0,10553240.16,3133183.98,6396620.300000001,1023435.88,0.3287773691822346,0.9030216441127593
