genre,nb_declarations_2020,total_declarations_duration_2020,women_speech_duration_2020,men_speech_duration_2020,other_duration_2020,women_expression_rate_2020,speech_rate_2020,nb_declarations_2019,total_declarations_duration_2019,women_speech_duration_2019,men_speech_duration_2019,other_duration_2019,women_expression_rate_2019,speech_rate_2019
Information - Journal,11770,31573605.19999997,10733020.959999997,16666252.559999967,4174331.6800000006,0.3917264796150701,0.867790464422479,12172.0,46426696.82,15227561.64,23912775.339999996,7286359.84,0.3890503458818203,0.8430566820583899
Information - Magazine,8839,43921146.179999985,12265253.54000001,28520630.37999996,3135262.2600000063,0.30072300416629094,0.9286161101727421,10773.0,53435793.92,14629241.66,33703544.66,5103007.6,0.3026773909359009,0.904502072007392
Information - Autres émissions,475,873112.4599999989,286694.2799999994,489202.0799999994,97216.10000000022,0.36950074105258063,0.8886556950521582,,,,,,,
Documentaire,737,2471803.8200000008,710360.9599999995,1159896.7800000012,601546.0800000001,0.37981982098360373,0.7566368029967686,521.0,1834222.6400000001,537780.7200000001,947300.84,349141.08,0.36212201032244995,0.8096517443487667
Magazine,18189,56430421.81999985,18222632.139999893,28479390.23999992,9728399.440000035,0.39018935821939377,0.827603637785459,15113.0,45898496.56,14600771.9,24428136.0,6869588.66,0.3741014721039633,0.8503308566758858
Divertissement - Variétés,367,2194760.6599999997,400969.77999999997,742060.0399999997,1051730.84,0.35079555492261794,0.5207993020979335,843.0,2804138.44,1119862.4600000002,1246383.52,437892.45999999996,0.47326544639285556,0.8438406414770306
Divertissement - Jeux,1494,4478254.940000003,1330079.9600000002,2149085.780000003,999089.2,0.38229853344095044,0.7769021162515595,1358.0,4168509.44,943693.1799999998,2015160.98,1209655.28,0.31893872728083356,0.709811073379745
Divertissement - Autres,2809,15923434.160000015,2863331.3200000008,4544665.439999997,8515437.400000015,0.38651897574534055,0.4652260740719508,2379.0,14399727.22,2098497.86,4397485.18,7903744.180000001,0.3230454647246124,0.4511184788957412
Sport,2485,9112240.77999999,1031995.2199999999,6842492.439999989,1237753.1200000003,0.1310555384120065,0.8641658896111827,770.0,4030843.46,370891.3,3074599.4600000004,585352.7000000002,0.10764542000977531,0.8547815845966888
Autres émissions - Elément de programme/Habillage,4,37552.81999999999,5989.899999999995,16972.439999999995,14590.48000000001,0.26085756068414623,0.611467793896703,,,,,,,
Autres émissions - Autres,61,939597.08,350685.4799999999,508552.6399999997,80358.96000000021,0.4081353839375749,0.9144750854270426,,,,,,,
Non Renseigné,634,1565437.1399999994,508041.09999999945,913072.0800000003,144323.95999999982,0.35749517149647403,0.9078059691365188,,,,,,,
Musique,572,7229206.119999998,177836.09999999983,226377.7599999997,6824992.259999999,0.4399554730755646,0.05591400401237966,725.0,5215657.859999999,236472.58,393271.1,4585914.18,0.37550607891769555,0.12074098740824997
